"# Head",,,,,,
"title","Mageia.org financial report for year 2011",,,,,
"org","mageia.org",,,,,
"owner","mageia.org",,,,,
"manager","mageia.org treasurer",,,,,
"contact","See http://www.mageia.org/en/about/reports/",,,,,
"type","financial report",,,,,
"year",2011,,,,,
"currency","EUR",,,,,
"url","http://www.mageia.org/en/about/reports/",,,,,
"licence","ODbL-1.0","This financial report data is made available under the Open Database License: http://opendatacommons.org/licenses/odbl/1.0/. Any rights in individual contents of the database are licensed under the Database Contents License: http://opendatacommons.org/licenses/dbcl/1.0/",,,,
"last updated",2012/05/11,,,,,
"comment","This is a first attempt to provide open and direct access to Mageia financial data. We will try to improve on it, feel free to suggest improvements in format, detail, presentation.",,,,,
,,,,,,
"",,,,,,
"# Account balance on 2011/12/31",,,,,,
"total","8166,37",,,,,
"main account","413,13",,,,,
"paypal","653,24",,,,,
"savings account",7100,,,,,
,,,,,,
"# Income Statement",,,,,,
,,,,,,
"## Revenues",,,,,,
"Donations","11150,96",,,,,
"Bank interests","3,06",,,,,
"Total of revenues","11154,02",,,,,
,,,,,,
"## Expenses",,,,,,
"Hardware (servers)","5500,45",,,,,
"Events (FOSDEM, Solutions Linux)","2091,39",,,,,
"Trademark registration",280,,,,,
"Transporation & accomodation","166,5",,,,,
"Shipments","126,98",,,,,
"Assoc. Membership",100,,,,,
"Administrative fees",44,,,,,
"Total of expenses","8327,25",,,,,
,,,,,,
"Net Income","2826,77",,,,,
,,,,,,
,,,,,,
"# Balance Sheet (incomplete)",,,,,,
,,,,,,
"## Liabilities",,,,,,
"Donations","11150,96",,,,,
,,,,,,
"## Assets",,,,,,
"Trademark",280,,,,,
"Hardware, servers","TBD",,,,,
"Promotional materials","TBD",,,,,
"Cash","8166,37",,,,,
,,,,,,
,,,,,,
"# Income details",,,,,,
"## Donations monthly summary",,,,,,
"month","count","total amount","check","transfer","paypal","cash"
1,,"161,15",30,50,"81,15",0
2,,"3907,83",0,"2360,55","687,28",860
3,,"109,51",0,100,"9,51",0
4,,"283,73",0,60,"223,73",0
5,,"549,3",0,0,"549,3",0
6,,"907,9",80,"234,5","593,4",0
7,,"435,13",25,6,"404,13",0
8,,"263,84",0,30,"233,84",0
9,,"707,96",0,50,"657,96",0
10,,"1599,94",375,240,"984,94",0
11,,"1341,34",300,0,"1041,34",0
12,,"508,33",0,375,"508,33",0
,,,,,,
,,,,,,
"# Expenses details",,,,,,
"## Monthly summary",,,,,,
"month","count","total amount",,,,
1,,100,,,,
2,,"2116,57",,,,
3,,"54,65",,,,
4,,215,,,,
5,,"446,55",,,,
6,,0,,,,
7,,0,,,,
8,,0,,,,
9,,0,,,,
10,,"2963,55",,,,
11,,"1863,45",,,,
12,,0,,,,
"total",,,,,,
,,,,,,
"## More details",,,,,,
"date","invoice date","reference","category","description","amount",
,18/09/10,,"trademark","Mageia, INPI",280,
,20/10/10,,"hardware","HDD","242,7",
,11/11/10,,"admin","Administrative cost for Mageia.org",44,
04/01/11,04/01/11,,"membership","April.org",100,
04/02/11,04/02/11,,"promotional","Stickers & Tshirts FOSDEM 2011","1932,14",
04/02/11,04/02/11,,"admin","Money box","17,93",
06/02/11,06/02/11,,"transport/accomodation","FOSDEM 2011, 1 person","166,5",
01/03/11,01/03/11,,"shipments","tshirts for Chemnitzer 2011","54,65",
10/04/11,10/04/11,,"hosting","SSL certificate","215,28",
09/05/11,09/05/11,,"promotional","Posters, flyers, Solutions Linux 2011","159,25",
17/05/11,17/05/11,,"shipments","tshirts for Solutions Linux 2011","12,3",
26/05/11,26/05/11,,"shipments","tshirts",25,
30/05/11,30/05/11,,"hosting","Gandi hosting, RAM",250,
25/10/11,25/10/11,,"hardware","Dell server","2669,6",
26/10/11,26/10/11,,"hardware","ARM bs boards","294,05",
14/11/11,14/11/11,,"hardware","HDD (backup server)","1149,83",
17/11/11,17/11/11,,"shipments","stickers, flyers","35,03",
29/11/11,29/11/11,,"hardware","buildsystem SSD","678,99",
,,,,,,
,,,,,,
"# That's all folks!",,,,,,
