# Head
title,Mageia.org financial report for year 2012,,,,,
org,mageia.org,,,,,
owner,mageia.org,,,,,
manager,mageia.org treasurer,,,,,
contact,See http://www.mageia.org/en/about/reports/,,,,,
type,financial report,,,,,
year,2013,,,,,
currency,EUR,,,,,
url,http://www.mageia.org/en/about/reports/,,,,,
licence,ODbL-1.0,This financial report data is made available under the Open Database License: http://opendatacommons.org/licenses/odbl/1.0/. Any rights in individual contents of the database are licensed under the Database Contents License: http://opendatacommons.org/licenses/dbcl/1.0/,,,,
last updated,2013/01/29,,,,,
comment,This is a first attempt to provide open and direct access to Mageia financial data. We will try to improve on it, feel free to suggest improvements in format, detail, presentation.,,,,,
,,,,,,
,,,,,,
# Account balance,,,,,,
total,8660.87,,,,,
main account,1997.26,,,,,
paypal,1125.12,,,,,
savings account,5538.49,,,,,
,,,,,,
# Income Statement,,,,,,
,,,,,,
## Revenues,,,,,,
Donations,0,,,,,
Bank interests,0,,,,,
Total of revenues,0,,,,,
,,,,,,
## Expenses,,,,,,
Total of expenses,0,,,,,
,,,,,,
Net Income,0,,,,,
,,,,,,
,,,,,,
# Balance Sheet (incomplete),,,,,,
,,,,,,
## Liabilities,,,,,,
Donations,0,,,,,
,,,,,,
## Assets,,,,,,
Hardware, servers,TBD,,,,,
Promotional materials,TBD,,,,,
Cash,0,,,,,
,,,,,,
,,,,,,
# Income details,,,,,,
## Donations monthly summary,,,,,,
month,count,total amount,check,transfer,paypal,cash
1,10,706.07,50.0,350.0,306.07,0,
2,0,0.0,0.0,0.0,0.0,0.0,
3,0,0.0,0.0,0.0,0.0,0.0,
4,0,0.0,0.0,0.0,0.0,0.0,
5,0,0.0,0.0,0.0,0.0,0.0,
6,0,0.0,0.0,0.0,0.0,0.0,
7,0,0.0,0.0,0.0,0.0,0.0,
8,0,0.0,0.0,0.0,0.0,0.0,
9,0,0.0,0.0,0.0,0.0,0.0,
10,0,0.0,0.0,0.0,0.0,0.0,
11,0.0,0.0,0.0,0.0,0.0,0.0,
12,0.0,0.0,0.0,0.0,0.0,0.0,

## Other revenues
date,description,amount
2013-01-01,2012 saving interests,135.36

,,,,,,
,,,,,,
# Expenses details,,,,,,
,,,,,,
## More details,,,,,,
date,category,description,amount,
2013-01-24,infra:hardware,upgrade storage disks,563.87,
2013-01-31,bank,Paypal fees,9.76,
2013-02-01,marketing:tshirts,T-Shirts,2126.49,

,,,,,,
,,,,,,
# That's all folks!,,,,,,
